# Pan-STARRS1 open filter transmission curve
# Source: Tonry et al. 2021
# https://ui.adsabs.harvard.edu/abs/2012ApJ...750...99T/abstract
# Retrieved 17 Aug 2021 from https://ipp.ifa.hawaii.edu/ps1.filters by K. Boone
# Wavelength(nm) Throughput
 380 0.096
 381 0.099
 382 0.103
 383 0.106
 384 0.110
 385 0.113
 386 0.117
 387 0.121
 388 0.125
 389 0.129
 390 0.133
 391 0.137
 392 0.142
 393 0.146
 394 0.151
 395 0.156
 396 0.161
 397 0.166
 398 0.171
 399 0.176
 400 0.182
 401 0.188
 402 0.194
 403 0.199
 404 0.205
 405 0.210
 406 0.217
 407 0.223
 408 0.228
 409 0.235
 410 0.242
 411 0.248
 412 0.254
 413 0.261
 414 0.268
 415 0.276
 416 0.284
 417 0.291
 418 0.298
 419 0.305
 420 0.312
 421 0.318
 422 0.324
 423 0.331
 424 0.338
 425 0.344
 426 0.351
 427 0.356
 428 0.362
 429 0.368
 430 0.374
 431 0.380
 432 0.386
 433 0.392
 434 0.398
 435 0.403
 436 0.409
 437 0.415
 438 0.420
 439 0.425
 440 0.430
 441 0.436
 442 0.442
 443 0.447
 444 0.451
 445 0.455
 446 0.460
 447 0.465
 448 0.470
 449 0.474
 450 0.478
 451 0.482
 452 0.486
 453 0.490
 454 0.493
 455 0.497
 456 0.500
 457 0.503
 458 0.506
 459 0.509
 460 0.512
 461 0.514
 462 0.517
 463 0.520
 464 0.521
 465 0.525
 466 0.528
 467 0.530
 468 0.532
 469 0.534
 470 0.537
 471 0.539
 472 0.541
 473 0.542
 474 0.543
 475 0.544
 476 0.545
 477 0.547
 478 0.548
 479 0.550
 480 0.552
 481 0.554
 482 0.555
 483 0.557
 484 0.558
 485 0.559
 486 0.561
 487 0.562
 488 0.564
 489 0.565
 490 0.567
 491 0.568
 492 0.570
 493 0.572
 494 0.574
 495 0.575
 496 0.577
 497 0.579
 498 0.581
 499 0.582
 500 0.582
 501 0.583
 502 0.584
 503 0.585
 504 0.587
 505 0.589
 506 0.591
 507 0.594
 508 0.596
 509 0.598
 510 0.601
 511 0.602
 512 0.604
 513 0.605
 514 0.607
 515 0.609
 516 0.611
 517 0.613
 518 0.615
 519 0.616
 520 0.617
 521 0.618
 522 0.620
 523 0.622
 524 0.624
 525 0.626
 526 0.627
 527 0.629
 528 0.630
 529 0.632
 530 0.634
 531 0.635
 532 0.637
 533 0.640
 534 0.643
 535 0.645
 536 0.647
 537 0.649
 538 0.651
 539 0.653
 540 0.654
 541 0.656
 542 0.659
 543 0.661
 544 0.663
 545 0.667
 546 0.670
 547 0.671
 548 0.672
 549 0.673
 550 0.675
 551 0.678
 552 0.682
 553 0.685
 554 0.688
 555 0.689
 556 0.690
 557 0.691
 558 0.691
 559 0.693
 560 0.695
 561 0.697
 562 0.699
 563 0.701
 564 0.703
 565 0.705
 566 0.707
 567 0.709
 568 0.710
 569 0.712
 570 0.714
 571 0.716
 572 0.717
 573 0.718
 574 0.719
 575 0.721
 576 0.724
 577 0.726
 578 0.729
 579 0.732
 580 0.735
 581 0.738
 582 0.741
 583 0.744
 584 0.746
 585 0.748
 586 0.750
 587 0.752
 588 0.754
 589 0.752
 590 0.754
 591 0.758
 592 0.759
 593 0.762
 594 0.764
 595 0.766
 596 0.769
 597 0.770
 598 0.772
 599 0.774
 600 0.776
 601 0.778
 602 0.779
 603 0.781
 604 0.784
 605 0.786
 606 0.788
 607 0.790
 608 0.792
 609 0.795
 610 0.797
 611 0.799
 612 0.801
 613 0.804
 614 0.806
 615 0.807
 616 0.808
 617 0.810
 618 0.812
 619 0.814
 620 0.817
 621 0.820
 622 0.823
 623 0.824
 624 0.825
 625 0.825
 626 0.826
 627 0.828
 628 0.808
 629 0.823
 630 0.823
 631 0.832
 632 0.836
 633 0.840
 634 0.843
 635 0.845
 636 0.847
 637 0.850
 638 0.852
 639 0.855
 640 0.857
 641 0.859
 642 0.860
 643 0.862
 644 0.865
 645 0.866
 646 0.866
 647 0.867
 648 0.867
 649 0.869
 650 0.873
 651 0.875
 652 0.874
 653 0.879
 654 0.881
 655 0.880
 656 0.882
 657 0.883
 658 0.885
 659 0.887
 660 0.889
 661 0.892
 662 0.894
 663 0.895
 664 0.896
 665 0.897
 666 0.898
 667 0.899
 668 0.900
 669 0.902
 670 0.903
 671 0.904
 672 0.906
 673 0.906
 674 0.907
 675 0.908
 676 0.910
 677 0.911
 678 0.912
 679 0.914
 680 0.916
 681 0.917
 682 0.918
 683 0.919
 684 0.920
 685 0.921
 686 0.921
 687 0.750
 688 0.813
 689 0.825
 690 0.835
 691 0.870
 692 0.888
 693 0.901
 694 0.908
 695 0.917
 696 0.918
 697 0.929
 698 0.930
 699 0.926
 700 0.926
 701 0.925
 702 0.926
 703 0.926
 704 0.930
 705 0.931
 706 0.934
 707 0.935
 708 0.936
 709 0.937
 710 0.937
 711 0.938
 712 0.939
 713 0.938
 714 0.938
 715 0.936
 716 0.935
 717 0.917
 718 0.904
 719 0.885
 720 0.894
 721 0.912
 722 0.936
 723 0.920
 724 0.906
 725 0.907
 726 0.917
 727 0.910
 728 0.911
 729 0.914
 730 0.925
 731 0.916
 732 0.927
 733 0.935
 734 0.937
 735 0.938
 736 0.939
 737 0.940
 738 0.944
 739 0.943
 740 0.944
 741 0.944
 742 0.945
 743 0.944
 744 0.944
 745 0.944
 746 0.945
 747 0.945
 748 0.946
 749 0.947
 750 0.948
 751 0.948
 752 0.949
 753 0.949
 754 0.948
 755 0.948
 756 0.948
 757 0.947
 758 0.946
 759 0.943
 760 0.448
 761 0.364
 762 0.719
 763 0.501
 764 0.617
 765 0.702
 766 0.800
 767 0.857
 768 0.911
 769 0.923
 770 0.938
 771 0.943
 772 0.944
 773 0.943
 774 0.942
 775 0.942
 776 0.943
 777 0.943
 778 0.943
 779 0.943
 780 0.943
 781 0.942
 782 0.942
 783 0.942
 784 0.941
 785 0.940
 786 0.939
 787 0.937
 788 0.937
 789 0.936
 790 0.933
 791 0.934
 792 0.934
 793 0.933
 794 0.936
 795 0.937
 796 0.933
 797 0.935
 798 0.938
 799 0.936
 800 0.933
 801 0.931
 802 0.930
 803 0.930
 804 0.932
 805 0.933
 806 0.935
 807 0.934
 808 0.934
 809 0.932
 810 0.930
 811 0.930
 812 0.925
 813 0.920
 814 0.904
 815 0.902
 816 0.885
 817 0.887
 818 0.883
 819 0.902
 820 0.892
 821 0.921
 822 0.916
 823 0.851
 824 0.913
 825 0.914
 826 0.907
 827 0.916
 828 0.887
 829 0.906
 830 0.904
 831 0.904
 832 0.895
 833 0.915
 834 0.909
 835 0.919
 836 0.915
 837 0.921
 838 0.920
 839 0.920
 840 0.920
 841 0.918
 842 0.917
 843 0.917
 844 0.915
 845 0.915
 846 0.914
 847 0.913
 848 0.911
 849 0.911
 850 0.910
 851 0.909
 852 0.909
 853 0.909
 854 0.908
 855 0.907
 856 0.906
 857 0.904
 858 0.902
 859 0.901
 860 0.900
 861 0.900
 862 0.899
 863 0.898
 864 0.897
 865 0.896
 866 0.896
 867 0.895
 868 0.893
 869 0.892
 870 0.891
 871 0.889
 872 0.887
 873 0.885
 874 0.883
 875 0.881
 876 0.878
 877 0.877
 878 0.874
 879 0.872
 880 0.869
 881 0.866
 882 0.863
 883 0.861
 884 0.859
 885 0.857
 886 0.854
 887 0.851
 888 0.846
 889 0.844
 890 0.839
 891 0.838
 892 0.836
 893 0.830
 894 0.825
 895 0.817
 896 0.801
 897 0.778
 898 0.786
 899 0.729
 900 0.783
 901 0.760
 902 0.773
 903 0.752
 904 0.793
 905 0.785
 906 0.770
 907 0.738
 908 0.738
 909 0.744
 910 0.731
 911 0.740
 912 0.731
 913 0.720
 914 0.711
 915 0.723
 916 0.694
 917 0.725
 918 0.686
 919 0.711
 920 0.705
 921 0.711
 922 0.693
 923 0.699
 924 0.687
 925 0.677
 926 0.675
 927 0.679
 928 0.642
 929 0.635
 930 0.595
 931 0.562
 932 0.516
 933 0.499
 934 0.445
 935 0.473
 936 0.409
 937 0.442
 938 0.447
 939 0.520
 940 0.536
 941 0.504
 942 0.505
 943 0.437
 944 0.425
 945 0.478
 946 0.393
 947 0.468
 948 0.412
 949 0.498
 950 0.358
 951 0.493
 952 0.397
 953 0.435
 954 0.448
 955 0.426
 956 0.415
 957 0.400
 958 0.425
 959 0.409
 960 0.414
 961 0.414
 962 0.407
 963 0.412
 964 0.399
 965 0.399
 966 0.394
 967 0.393
 968 0.400
 969 0.402
 970 0.390
 971 0.391
 972 0.379
 973 0.368
 974 0.358
 975 0.349
 976 0.345
 977 0.343
 978 0.335
 979 0.334
 980 0.323
 981 0.325
 982 0.318
 983 0.308
 984 0.307
 985 0.298
 986 0.295
 987 0.287
 988 0.278
 989 0.272
 990 0.264
 991 0.259
 992 0.253
 993 0.246
 994 0.241
 995 0.235
 996 0.229
 997 0.224
 998 0.218
 999 0.213
1000 0.208
1001 0.203
1002 0.197
1003 0.192
1004 0.186
1005 0.181
1006 0.176
1007 0.171
1008 0.165
1009 0.160
1010 0.155
1011 0.149
1012 0.143
1013 0.138
1014 0.133
1015 0.129
1016 0.126
1017 0.122
1018 0.118
1019 0.113
1020 0.108
1021 0.103
1022 0.098
1023 0.095
1024 0.092
1025 0.089
1026 0.085
1027 0.082
1028 0.079
1029 0.076
1030 0.072
1031 0.068
1032 0.065
1033 0.061
1034 0.058
1035 0.056
1036 0.053
1037 0.051
1038 0.049
1039 0.046
1040 0.044
1041 0.042
1042 0.040
1043 0.038
1044 0.037
1045 0.036
1046 0.035
1047 0.034
1048 0.032
1049 0.031
1050 0.029
1051 0.028
1052 0.027
1053 0.026
1054 0.025
1055 0.024
1056 0.023
1057 0.022
1058 0.022
1059 0.020
1060 0.019
1061 0.018
1062 0.017
1063 0.017
1064 0.016
1065 0.015
1066 0.015
1067 0.014
1068 0.014
1069 0.013
1070 0.012
1071 0.012
1072 0.011
1073 0.011
1074 0.011
1075 0.010
1076 0.009
1077 0.009
1078 0.008
1079 0.008
1080 0.008
1081 0.007
1082 0.007
1083 0.007
1084 0.006
1085 0.006
1086 0.006
1087 0.006
1088 0.006
1089 0.005
1090 0.005
1091 0.005
1092 0.004
1093 0.004
1094 0.004
1095 0.004
1096 0.003
1097 0.003
1098 0.003
1099 0.003
1100 0.003
