# Pan-STARRS1 r filter transmission curve
# Source: Tonry et al. 2021
# https://ui.adsabs.harvard.edu/abs/2012ApJ...750...99T/abstract
# Retrieved 17 Aug 2021 from https://ipp.ifa.hawaii.edu/ps1.filters by K. Boone
# Wavelength(nm) Throughput
 380 0.000
 381 0.000
 382 0.000
 383 0.000
 384 0.000
 385 0.000
 386 0.000
 387 0.000
 388 0.000
 389 0.000
 390 0.000
 391 0.000
 392 0.000
 393 0.000
 394 0.000
 395 0.000
 396 0.000
 397 0.000
 398 0.000
 399 0.000
 400 0.000
 401 0.000
 402 0.000
 403 0.000
 404 0.000
 405 0.000
 406 0.000
 407 0.000
 408 0.000
 409 0.000
 410 0.000
 411 0.000
 412 0.000
 413 0.000
 414 0.000
 415 0.000
 416 0.000
 417 0.000
 418 0.000
 419 0.000
 420 0.000
 421 0.000
 422 0.000
 423 0.000
 424 0.000
 425 0.000
 426 0.000
 427 0.000
 428 0.000
 429 0.000
 430 0.000
 431 0.000
 432 0.000
 433 0.000
 434 0.000
 435 0.000
 436 0.000
 437 0.000
 438 0.000
 439 0.000
 440 0.000
 441 0.000
 442 0.000
 443 0.000
 444 0.000
 445 0.000
 446 0.000
 447 0.000
 448 0.000
 449 0.000
 450 0.000
 451 0.000
 452 0.000
 453 0.000
 454 0.000
 455 0.000
 456 0.000
 457 0.000
 458 0.000
 459 0.000
 460 0.000
 461 0.000
 462 0.000
 463 0.000
 464 0.000
 465 0.000
 466 0.000
 467 0.000
 468 0.000
 469 0.000
 470 0.000
 471 0.000
 472 0.000
 473 0.000
 474 0.000
 475 0.000
 476 0.000
 477 0.000
 478 0.000
 479 0.000
 480 0.000
 481 0.000
 482 0.000
 483 0.000
 484 0.000
 485 0.000
 486 0.000
 487 0.000
 488 0.000
 489 0.000
 490 0.000
 491 0.000
 492 0.000
 493 0.000
 494 0.000
 495 0.000
 496 0.000
 497 0.000
 498 0.000
 499 0.000
 500 0.000
 501 0.000
 502 0.000
 503 0.000
 504 0.000
 505 0.000
 506 0.000
 507 0.000
 508 0.000
 509 0.000
 510 0.000
 511 0.000
 512 0.000
 513 0.000
 514 0.000
 515 0.000
 516 0.000
 517 0.000
 518 0.000
 519 0.000
 520 0.000
 521 0.000
 522 0.000
 523 0.000
 524 0.000
 525 0.000
 526 0.000
 527 0.000
 528 0.000
 529 0.001
 530 0.001
 531 0.001
 532 0.001
 533 0.001
 534 0.002
 535 0.002
 536 0.003
 537 0.004
 538 0.005
 539 0.008
 540 0.011
 541 0.017
 542 0.026
 543 0.040
 544 0.062
 545 0.093
 546 0.134
 547 0.184
 548 0.242
 549 0.305
 550 0.367
 551 0.423
 552 0.469
 553 0.504
 554 0.528
